[19/10/2011 14:15:08] /t
[19/10/2011 14:15:18] /up
[19/10/2011 14:15:19] /up
[19/10/2011 14:15:28] /t
[19/10/2011 14:15:33] /a 2
[19/10/2011 14:15:38] /t
[19/10/2011 14:15:47] /ghost
[19/10/2011 14:16:29] /a 2
[19/10/2011 14:16:40] /a 2-
[19/10/2011 14:16:43] /a 20
[19/10/2011 14:16:46] /a 10
[19/10/2011 14:16:48] /a 2
[19/10/2011 14:16:49] /a 2
[19/10/2011 14:16:50] /a 2
[19/10/2011 14:16:51] /a 2
[19/10/2011 14:16:51] /a 2
[19/10/2011 14:16:52] /a 2
[19/10/2011 14:16:53] /a 2
[19/10/2011 14:16:53] /a 2
[19/10/2011 14:16:53] /a 2
[19/10/2011 14:16:54] /a 2
[19/10/2011 14:16:54] /a 2
[19/10/2011 14:16:55] /a 2
[19/10/2011 14:16:56] /a 2
[19/10/2011 14:16:57] /a 2
[19/10/2011 14:16:58] /a 2
[19/10/2011 14:16:59] /a 2
[19/10/2011 14:17:01] /a 2
[19/10/2011 14:17:01] /a 2
[19/10/2011 14:17:01] /a 2
[19/10/2011 14:17:02] /a 2
[19/10/2011 14:17:03] /a 2
[19/10/2011 14:17:03] /a 2
[19/10/2011 14:17:04] /a 10
[19/10/2011 14:17:05] /a 10
[19/10/2011 14:17:05] /a 10
[19/10/2011 14:17:07] /a 2
[19/10/2011 14:17:08] /a 2
[19/10/2011 14:17:09] /a 10
[19/10/2011 14:17:12] /a 10
[19/10/2011 14:17:13] /a 10
[19/10/2011 14:17:14] /a 10
[19/10/2011 14:17:15] /a 10
[19/10/2011 14:17:18] /a 2
[19/10/2011 14:17:19] /a 2
[19/10/2011 14:17:21] /a 2
[19/10/2011 14:17:23] /a 2
[19/10/2011 14:17:24] /a 2
[19/10/2011 14:17:26] /a 10
[19/10/2011 14:17:27] /a 10
[19/10/2011 14:17:29] /a 2
[19/10/2011 14:17:29] /a 2
[19/10/2011 14:17:32] /a 10
[19/10/2011 14:17:33] /a 10
[19/10/2011 14:17:34] /a 10
[19/10/2011 14:17:35] /a 10
[19/10/2011 14:17:37] /a 2
[19/10/2011 14:17:39] /a 10
[19/10/2011 14:17:42] /a 2
[19/10/2011 14:17:44] /a 2
[19/10/2011 14:17:46] /a 2
[19/10/2011 14:17:47] /a 2
[19/10/2011 14:17:47] /a 2
[19/10/2011 14:17:48] /a 2
[19/10/2011 14:17:49] /a 2
[19/10/2011 14:17:51] /a 10
[19/10/2011 14:17:56] /a 10
[19/10/2011 14:17:59] /a 2
[19/10/2011 14:18:51] /a 2
[19/10/2011 14:18:54] /a 2
[19/10/2011 14:18:55] /a 2
[19/10/2011 14:18:57] /a 2
[19/10/2011 14:18:58] /a 2
[19/10/2011 14:19:01] /a 10
[19/10/2011 14:19:03] /a 10
[19/10/2011 14:19:04] /a 10
[19/10/2011 14:19:06] /a 10
[19/10/2011 14:19:07] /a 10
[19/10/2011 14:19:09] /a 10
[19/10/2011 14:19:09] /a 2
[19/10/2011 14:19:25] /a 10
[19/10/2011 14:19:27] /a 2
[19/10/2011 14:19:28] /a 2
[19/10/2011 14:19:31] /a 10
[19/10/2011 14:19:32] /a 10
[19/10/2011 14:19:32] /a 10
[19/10/2011 14:19:34] /a 10
[19/10/2011 14:19:35] /a 2
[19/10/2011 14:20:50] /a 2
[19/10/2011 14:21:19] /a 2
[19/10/2011 14:21:52] /a 2
[19/10/2011 14:21:55] /a
[19/10/2011 14:21:56] /a 2
[19/10/2011 14:22:13] /a 2
[19/10/2011 14:22:15] /a 2
[19/10/2011 14:24:44] /a 20
[19/10/2011 14:27:28] /a 2
[19/10/2011 14:28:31] /a 20
[19/10/2011 14:28:35] /a 20
[19/10/2011 14:28:41] /a 2
[19/10/2011 14:30:08] /t
[19/10/2011 14:30:50] /a 2
